"ID","Name","Deaths from drug misuse - Persons - All ages | 2020 - 22","Deaths from drug misuse - Persons - All ages | 2021 - 23","Deaths from drug misuse - Persons - All ages | 2022 - 24"
E08000024,"Sunderland","8.725 [6.752,11.091]","8.809 [6.843,11.16]","8.095 [6.236,10.33]"
cf_relGroup1_E92000001,"England","5.208 [5.098,5.319]","5.488 [5.376,5.602]","5.797 [5.681,5.913]"
