date,pm10,no,no2,nox,ozone,pm25
2024-01-01,7.292708333333334,3.740178333333333,10.811174999999999,16.546034583333334,53.14452333333333,4.316041666666667
2024-01-02,12.592708333333334,6.596162083333333,21.75412125,31.86809458333333,43.77304791666666,8.411958333333333
2024-01-03,7.280208333333333,13.079229583333335,30.9909325,51.04547083333333,24.58799541666667,5.450083333333333
2024-01-04,5.985416666666667,4.6901279166666665,16.039608333333334,23.231035000000002,40.02071625,4.3937083333333335
2024-01-05,11.105208333333332,8.709415833333333,23.852978750000002,37.20723,26.214352083333335,6.502624999999999
2024-01-06,8.903260869565218,5.6136670833333335,24.838247083333332,33.44574958333333,20.830812916666666,6.3494782608695655
2024-01-07,7.5687500000000005,1.8649720833333332,22.025770833333336,24.885355,24.73282125,5.424541666666666
2024-01-08,9.997916666666667,4.898274583333333,13.71761375,21.228195833333334,58.69090541666666,5.349916666666666
2024-01-09,9.780208333333333,5.008680833333334,8.812989166666666,16.49286125,71.21461541666666,3.6606666666666663
2024-01-10,7.95625,3.364793043478261,12.968441739130435,18.127717826086954,65.41807708333333,3.2901249999999997
2024-01-11,12.603125,1.0627275,9.497935833333333,11.127427500000001,68.167015,5.447166666666667
2024-01-12,7.552083333333333,3.523879583333333,13.701711666666666,19.104918333333334,48.673599583333335,5.323333333333333
2024-01-13,4.640625,4.2943533333333335,13.232242916666666,19.816824999999998,51.57914541666667,3.0925833333333332
2024-01-14,4.3687499999999995,1.1364604166666668,8.089950416666667,9.832498333333334,59.0436175,2.6414166666666667
2024-01-15,7.560416666666666,2.34626875,12.15982625,15.757385833333332,61.405196249999996,3.07975
2024-01-16,4.689583333333333,5.218706249999999,14.843449583333333,22.845354166666667,55.42225291666667,3.219375
2024-01-17,5.4386363636363635,2.806426,15.591444999999998,19.894571,49.3528315,3.538772727272727
2024-01-18,4.673958333333333,1.46205375,10.387722083333333,12.629506666666666,57.28490708333334,2.501958333333333
2024-01-19,5.6499999999999995,2.1597566666666665,8.689475,12.001052916666666,66.90930833333333,2.88725
2024-01-20,5.570833333333333,1.3796316666666666,6.214167499999999,8.329570833333333,67.18787541666667,3.6595
2024-01-21,4.51875,0.8925345833333335,3.51291125,4.881445,71.90618083333334,3.1642499999999996
2024-01-22,9.503124999999999,3.060396363636364,5.089387727272727,9.78192909090909,78.83665913043478,5.354833333333333
2024-01-23,11.466666666666667,1.9525083333333333,6.111081666666667,9.104885,68.81215208333333,6.784541666666667
