"Name","Sunderland","North East","England"
"Owns outright",38312,382035,7624693
"Owns outright (%)",31.4,32.5,32.5
"Owns with a mortgage or loan",32680,326511,6744372
"Owns with a mortgage or loan (%)",26.7,27.8,28.8
"Shared ownership",484,5234,235951
"Shared ownership (%)",0.4,0.4,1
"Social rented",32554,258134,4005663
"Social rented (%)",26.6,22,17.1
"Private rented",18096,202539,4794889
"Private rented (%)",14.8,17.2,20.5
