"ID","Name","Burglary Rate | Aug-24 - Jul-25","Burglary Rate | Sep-24 - Aug-25","Burglary Rate | Oct-24 - Sep-25","Burglary Rate | Nov-24 - Oct-25","Burglary Rate | Dec-24 - Nov-25","Burglary Rate | Jan-25 - Dec-25","Burglary Rate | Feb-25 - Jan-26","Burglary Rate | Mar-25 - Feb-26","Burglary Rate | Apr-25 - Mar-26","Burglary Rate | May-25 - Apr-26","Burglary Rate | Jun-25 - May-26","Burglary Rate | Jul-25 - Jun-26"
E08000024,"Sunderland",6.64,6.29,6.29,6.28,6.15,5.87,5.45,5.21,5.12,5.13,5.12,5.04
cf_relGroup5_E92000001,"England",3.65,3.61,3.58,3.55,3.54,3.52,3.5,3.5,3.49,3.49,3.48,3.47
