"ID","Name","Males | 2020 Mar","Males | 2020 Jun","Males | 2020 Sep","Males | 2020 Dec","Males | 2021 Mar","Males | 2021 Jun","Males | 2021 Sep","Males | 2021 Dec","Males | 2022 Mar","Males | 2022 Jun","Males | 2022 Sep","Males | 2022 Dec","Males | 2023 Mar","Males | 2023 Jun","Males | 2023 Sep","Males | 2023 Dec","Males | 2024 Mar","Males | 2024 Jun","Males | 2024 Sep","Males | 2024 Dec","Males | 2025 Mar","Males | 2025 Jun","Males | 2025 Sep","Males | 2025 Dec","Males | 2026 Mar"
E08000024,"Males","73.4 [71.3,75.5]","73.9 [71.7,76.1]","74.4 [72.1,76.7]","72.8 [70.35,75.25]","70 [67.4,72.6]","68.2 [65.55,70.85]","68.2 [65.6,70.8]","71.2 [68.6,73.8]","69.7 [67.05,72.35]","71.2 [68.55,73.85]","72.3 [69.65,74.95]","72.2 [69.45,74.95]","73.8 [71.05,76.55]","75.4 [72.6,78.2]","76.3 [73.4,79.2]","74.6 [71.75,77.45]","75 [72.2,77.8]","74.3 [71.55,77.05]","76.3 [73.65,78.95]","76.9 [74.3,79.5]","75.9 [73.4,78.4]","75.8 [73.3,78.3]","74.6 [72.1,77.1]","72.3 [69.7,74.9]","73 [70.35,75.65]"
E08000024,"Females","67.6 [65.5,69.7]","69.2 [67.05,71.35]","70.1 [67.9,72.3]","67.9 [65.6,70.2]","67.7 [65.2,70.2]","64.3 [61.8,66.8]","63.8 [61.3,66.3]","66.4 [63.85,68.95]","67.9 [65.35,70.45]","70.4 [67.9,72.9]","70.2 [67.65,72.75]","69.8 [67.15,72.45]","70.8 [68.15,73.45]","72 [69.3,74.7]","69.9 [66.9,72.9]","70.3 [67.45,73.15]","70.8 [68,73.6]","73.9 [71.2,76.6]","74.9 [72.35,77.45]","72.6 [70,75.2]","69.3 [66.75,71.85]","67.4 [64.85,69.95]","64.4 [61.8,67]","67.5 [64.95,70.05]","67.3 [64.65,69.95]"
