"ID","Name","Smoking status at time of delivery - Female - All ages | "
E08000024,"Sunderland","8.7 [7.632,9.822]"
cf_relGroup0_E12000001,"North East","7.9 [7.587,8.28]"
cf_relGroup1_E92000001,"England","6.1 [6.03,6.16]"
