"ID","Name","General fertility rate
 - Female - 15-44 yrs | 2013","General fertility rate
 - Female - 15-44 yrs | 2014","General fertility rate
 - Female - 15-44 yrs | 2015","General fertility rate
 - Female - 15-44 yrs | 2016","General fertility rate
 - Female - 15-44 yrs | 2017","General fertility rate
 - Female - 15-44 yrs | 2018","General fertility rate
 - Female - 15-44 yrs | 2019","General fertility rate
 - Female - 15-44 yrs | 2020","General fertility rate
 - Female - 15-44 yrs | 2021","General fertility rate
 - Female - 15-44 yrs | 2022"
E08000024,"Sunderland","56.925 [54.909,58.996]","54.986 [52.995,57.032]","55.867 [53.848,57.942]","58.712 [56.625,60.857]","58.012 [55.921,60.162]","55.761 [53.699,57.882]","52.659 [50.657,54.72]","52.951 [50.944,55.017]","53.552 [51.543,55.619]","51.107 [49.158,53.112]"
cf_relGroup1_E92000001,"England","61.835 [61.687,61.984]","61.455 [61.307,61.603]","61.566 [61.418,61.714]","61.25 [61.102,61.397]","59.733 [59.588,59.879]","57.597 [57.455,57.74]","55.911 [55.771,56.052]","53.52 [53.383,53.658]","54.188 [54.051,54.326]","51.891 [51.757,52.025]"
