"ID","Name","Median - Annual pay - Female Full Time Workers  | 2021","Median - Annual pay - Female Full Time Workers  | 2022","Median - Annual pay - Female Full Time Workers  | 2023","Median - Annual pay - Female Full Time Workers  | 2024","Median - Annual pay - Female Full Time Workers  | 2025"
E08000024,"Sunderland",24192,25742,27896,31906,31462
cf_relGroup1_E92000001,"England",28311,29831,31691,33984,35674
