"Name","Sunderland","North East","England"
"Properties in council tax band A (counts)",80310,667540,6103330
"Properties in council tax band B (counts)",20100,206790,5016580
"Properties in council tax band C (counts)",18350,196180,5654420
"Properties in council tax band D (counts)",10090,113460,4035220
"Properties in council tax band E (counts)",3780,61100,2528140
"Properties in council tax band F (counts)",1230,26600,1343210
"Properties in council tax band G (counts)",700,14600,911140
"Properties in council tax band H (counts)",60,1570,154460
