"Name","Sunderland","North East","England"
"Number of bungalows",20270,144030,2319700
"Number of bungalows as a % of total properties",15,11,9
"Number of flats/maisonettes",19740,208920,6255520
"Number of flats/maisonettes as a % of total properties",15,16,24
"Number of terraced houses",35870,374700,6610300
"Number of terraced houses as a % of total properties",27,29,26
"Number of semi-detached houses",45110,386210,6079000
"Number of semi-detached houses as a % of total properties",34,30,24
"Number of detached houses",13170,169950,4134690
"Number of detached houses as a % of total properties",10,13,16
