lsoa_code,lsoa_name,imd_score,imd_decile,health_deprivation_score,health_deprivation_decile,income_score,employment_score,education_score,crime_score,housing_barriers_score,living_environment_score,indoors_subdomain_score,outdoors_subdomain_score,idaci_score,idaopi_score,total_population,population_0_15,population_60_plus,population_working_age,pct_population_0_15,pct_population_60_plus
E01008829,Sunderland 023G,63.07,1,2.221,1,0.585,0.397,52.342,1.333,17.772,9.854,-0.461,0.022,0.6,0.495,1277,259,261,822,20.28191072826938,20.43852779953015
E01008830,Sunderland 018B,38.133,2,1.111,2,0.396,0.197,22.965,1.265,12.061,51.842,0.969,0.754,0.52,0.22,1431,310,185,975,21.663172606568835,12.928022361984626
E01008831,Sunderland 013D,39.86,2,1.354,1,0.312,0.199,27.238,1.981,20.174,40.569,0.531,1.109,0.37,0.524,1932,281,302,1381,14.544513457556935,15.631469979296067
E01008832,Sunderland 018C,35.951,2,0.86,2,0.368,0.164,29.67,0.608,14.608,71.518,1.472,0.634,0.566,0.221,1522,378,285,942,24.83574244415243,18.725361366622863
E01008833,Sunderland 018D,30.517,3,0.653,3,0.282,0.182,22.301,0.321,9.558,65.876,1.317,0.654,0.546,0.147,1353,222,410,824,16.4079822616408,30.303030303030305
E01008834,Sunderland 013E,37.821,2,0.997,2,0.31,0.232,14.449,1.841,16.056,47.29,0.884,0.654,0.414,0.276,1522,186,240,1149,12.220762155059132,15.768725361366624
E01008835,Sunderland 022G,25.168,4,0.662,3,0.233,0.145,17.603,0.584,12.682,48.366,0.918,0.625,0.295,0.156,1529,268,308,1014,17.527795945062135,20.14388489208633
E01008836,Sunderland 016F,76.226,1,2.611,1,0.66,0.448,53.248,2.641,24.645,34.708,0.27,1.166,0.711,0.7,1330,188,309,942,14.135338345864662,23.233082706766915
E01008837,Sunderland 003B,54.439,1,2.067,1,0.476,0.302,61.237,1.31,20.413,8.546,-0.396,-0.284,0.573,0.455,1227,251,290,794,20.45639771801141,23.634881825590874
E01008838,Sunderland 003C,46.855,1,1.743,1,0.506,0.268,50.479,0.779,15.577,7.895,-0.48,-0.21,0.687,0.52,1431,311,294,928,21.733053808525508,20.545073375262053
E01008839,Sunderland 003D,71.485,1,2.157,1,0.606,0.42,73.737,1.805,21.02,9.398,-0.345,-0.261,0.762,0.521,1303,245,303,852,18.802762854950114,23.254029163468918
E01008840,Sunderland 003E,43.175,2,1.43,1,0.471,0.262,51.152,0.351,20.361,11.361,-0.2,-0.311,0.766,0.428,1382,284,283,893,20.549927641099856,20.47756874095514
E01008841,Sunderland 003F,55.757,1,1.76,1,0.525,0.33,56.864,1.286,22.037,7.301,-0.525,-0.222,0.648,0.586,1480,378,251,927,25.54054054054054,16.95945945945946
E01008842,Sunderland 004F,27.823,3,1.076,2,0.276,0.192,33.722,0.251,13.325,13.217,-0.076,-0.381,0.401,0.237,1364,213,427,858,15.6158357771261,31.3049853372434
E01008843,Sunderland 019A,11.439,7,0.479,3,0.102,0.1,11.149,-0.189,8.559,9.707,-0.232,-0.528,0.131,0.07,1208,161,403,734,13.327814569536422,33.360927152317885
E01008844,Sunderland 019B,22.051,4,0.655,3,0.218,0.162,21.826,0.567,10.665,15.284,-0.277,0.347,0.363,0.148,1434,210,597,759,14.644351464435147,41.63179916317992
E01008845,Sunderland 017A,13.575,7,0.616,3,0.103,0.106,9.47,-0.082,13.36,20.178,-0.124,0.582,0.089,0.075,1418,174,570,784,12.270803949224259,40.19746121297602
E01008846,Sunderland 017B,56.744,1,1.803,1,0.543,0.31,66.239,1.061,18.319,18.312,0.128,-0.224,0.669,0.419,1198,333,280,640,27.79632721202003,23.372287145242073
E01008847,Sunderland 017C,49.606,1,1.565,1,0.523,0.272,58.475,0.644,21.663,18.307,0.02,0.074,0.659,0.468,1339,332,258,786,24.794622852875282,19.268110530246453
E01008848,Sunderland 019C,22.076,4,0.914,2,0.229,0.142,17.539,0.618,15.591,11.008,-0.236,-0.275,0.217,0.238,1282,132,613,645,10.29641185647426,47.81591263650546
E01008849,Sunderland 019D,50.121,1,1.548,1,0.532,0.306,55.566,0.738,15.035,11.923,-0.058,-0.775,0.627,0.529,1394,375,236,854,26.901004304160686,16.929698708751793
E01008851,Sunderland 017E,30.881,3,1.355,1,0.311,0.213,32.273,0.106,12.229,15.045,-0.097,-0.048,0.352,0.351,1517,258,411,989,17.007251153592616,27.092946605141726
E01008852,Sunderland 019E,13.95,7,0.445,4,0.133,0.103,21.59,-0.785,9.623,18.746,0.141,-0.197,0.136,0.175,1140,176,390,676,15.43859649122807,34.21052631578947
E01008853,Sunderland 009A,56.447,1,1.996,1,0.5,0.338,57.63,1.437,12.223,13.122,-0.344,0.224,0.642,0.402,1403,293,372,838,20.883820384889525,26.514611546685675
E01008854,Sunderland 009B,57.776,1,1.806,1,0.458,0.369,54.114,1.833,18.526,15.272,0.02,-0.361,0.574,0.391,1278,215,321,832,16.823161189358373,25.11737089201878
E01008855,Sunderland 007A,21.528,5,0.767,3,0.252,0.169,17.083,-1.266,24.931,5.538,-0.522,-0.558,0.396,0.16,1359,209,255,965,15.378955114054452,18.76379690949227
E01008856,Sunderland 007B,14.489,6,0.569,3,0.131,0.145,15.591,-0.958,10.903,7.046,-0.413,-0.519,0.205,0.085,1248,136,553,682,10.897435897435898,44.31089743589743
E01008857,Sunderland 009C,36.112,2,1.347,1,0.352,0.241,48.542,0.144,14.896,13.301,-0.115,-0.242,0.42,0.326,1322,246,355,809,18.608169440242055,26.853252647503783
E01008858,Sunderland 009D,59.229,1,1.9,1,0.583,0.348,61.897,0.845,15.036,19.038,0.09,-0.009,0.768,0.457,1247,304,201,782,24.3785084202085,16.1186848436247
