month,pm10,no,no2,nox,ozone,pm25
2024-01,8.156039136302294,3.558076589673913,12.36177858695652,17.817419171195652,56.595424790257105,4.8205627530364366
2024-02,8.932507183908045,4.586372115107913,11.754509395683453,18.786847985611512,55.78780851798561,5.406054597701149
2024-03,16.276469717362044,3.9665095397489543,11.967471241283125,18.049366569037655,60.45628587988826,10.580721399730821
2024-04,9.148888888888889,2.259069304589708,8.22259959666203,11.686456634214185,72.5856901810585,5.007713888888889
2024-05,16.288810483870968,3.020891534320323,11.307239017496634,15.939206769851952,63.70616542395693,10.395971774193548
2024-06,9.045833333333333,3.0944427653631283,8.743467918994412,13.486334455307261,55.96048862308762,4.920036111111111
2024-07,7.513944892473118,3.528086251691475,9.465875196211096,14.87553150202977,45.90704080862533,4.027228494623656
2024-08,10.680721621621622,2.247606784203103,5.879514358251058,9.325796008462623,53.162974261603374,6.2686364864864865
2024-09,13.699490277777777,3.265688969359332,9.247837479108634,14.255156518105851,62.24632918309859,8.000280555555555
2024-10,11.35198252688172,3.959976258411844,11.177063889636608,17.248941843876178,47.755124351351355,6.897404569892473
2024-11,12.825938803894298,4.725411195335277,15.510038600583089,22.755567609329447,40.10486197771588,9.001069541029208
2024-12,7.834543010752688,2.8964832974427996,10.229262934051144,14.670474333781966,53.74200117250674,4.89383870967742
2025-01,9.766756393001346,4.457591083333333,14.888658316666666,21.723535183333333,48.1823757219973,7.3054804845222066
2025-02,17.165582959641256,4.634633023622047,13.015089448818898,20.121426866141732,57.67256961360124,11.732431988041855
2025-03,20.20731451612903,3.89454811533052,15.633662545710267,21.605218874824192,60.857495618279565,13.475736559139785
2025-04,14.892708333333333,3.4461201532033425,12.729654582172701,18.013631030640667,67.39170477715878,8.539445833333334
2025-05,12.631485215053765,1.8353858513513512,7.140099445945946,9.954317675675677,71.80438413978494,6.601052419354839
2025-06,10.3396875,1.8412923570432356,5.926262538354254,8.749536889818689,63.10513151599444,5.811169444444445
2025-07,8.898353494623656,2.6410826315789473,7.300578582995951,11.35018148448043,46.05207949386503,5.128505376344086
2025-08,10.627661725067385,2.1010935294117647,6.3961449226006195,9.61777640866873,50.02985145552561,5.684425876010781
2025-09,7.973744769874477,3.1791011716171615,8.951089240924093,13.825642244224422,46.56518442363112,4.123152022315202
2025-10,8.426814516129033,3.220770094722598,9.601233234100135,14.539677834912045,47.33930356725146,5.152169354838709
2025-11,9.693159722222221,3.402271902097902,11.025192993006993,16.241936349650352,46.5781670415648,6.140244444444444
2025-12,10.458467741935484,4.198526344936709,11.06788213607595,17.50553199367089,54.130367028885836,6.334926075268818
2026-01,15.842809139784945,6.700483459459459,14.167220067567568,24.4411507027027,47.34834486251809,10.800423387096775
2026-02,13.515671641791045,4.048379789473684,9.75460645112782,15.962034511278196,57.715585315315316,8.274891044776119
2026-03,14.291812668463612,3.1892034733893557,8.971979159663865,13.86202218487395,62.509360831024935,9.231467654986522
2026-04,12.060152990264255,3.2034075453277544,8.028904002789401,12.940726290097627,70.2097510724234,6.574408901251738
2026-05,9.918212365591398,3.2045437550471063,8.106131870794078,13.019696016150741,62.965140940860216,5.301911290322581
2026-06,8.495034722222222,2.4340655771905424,6.080103894297635,9.81228511821975,54.48727690277778,4.098434722222223
2026-07,9.73252688172043,3.253459676549865,5.579118800539083,10.56225936657682,54.41333862903225,5.567205645161291
2026-08,10.570109890109888,2.527787583148559,7.575789911308204,11.469899999999999,59.04004703539823,4.783364835164836
