"Name","Sunderland","North East","England"
"Number of long-term vacant dwellings",2017,18164,303185
"% of vacant dwellings that are long-term vacant",44.5,42.7,40.2
"Number of local authority vacant dwellings",9,2262,34596
"% of vacant dwellings owned by the local authority",0.2,5.3,4.6
"Number of Private Registered Provider (Housing Association) vacant dwellings",519,3417,36885
"% of vacant dwellings that are owned by a Private Registered Provider/Housing Association",11.4,8,4.9
"Number of long-term Private Registered Provider (Housing Association) vacant dwellings",151,2193,21633
"% of vacant dwellings that are long-term vacant and owned by a Private Registered Provider/Housing Association",3.3,5.2,2.9
"Number of other public sector vacant dwellings",0,6,3421
"% of vacant dwellings that are owned by other public sector bodies",0,0,0.6
