"Name","Sunderland","North East","England"
"Electricity used (GWh) by domestic customers",352,3552.9,84098.5
"Electricity used (GWh) by non-domestic customers",650.3,6378.1,127881.1
"Gas used (GWh) by domestic customers",1456.1,13471.2,242971.9
"Gas used (GWh) by non-domestic customers",628.9,7193.3,130134
