"ID","Name","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs | 2020/21","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs | 2021/22","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs | 2022/23","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs | 2023/24","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs | 2024/25","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Lower 95% Confidence Limit) | 2020/21","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Lower 95% Confidence Limit) | 2021/22","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Lower 95% Confidence Limit) | 2022/23","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Lower 95% Confidence Limit) | 2023/24","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Lower 95% Confidence Limit) | 2024/25","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Upper 95% Confidence Limit) | 2020/21","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Upper 95% Confidence Limit) | 2021/22","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Upper 95% Confidence Limit) | 2022/23","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Upper 95% Confidence Limit) | 2023/24","Adults with substance misuse treatment need who successfully engage in community-based structured treatment following release from prison - Persons - 18+ yrs (Upper 95% Confidence Limit) | 2024/25"
E08000024,"Sunderland",36.923,50.442,76.336,68.919,63.084,29.114,41.362,68.373,61.063,56.441,45.483,59.494,82.798,75.817,69.266
cf_relGroup1_E92000001,"England",38.122,37.354,42.612,53.332,57.099,37.418,36.63,41.872,52.619,56.469,38.83,38.085,43.355,54.043,57.727
