"Name","Sunderland","North East","England"
"Detached",16201,207943,5368859
"Detached (%)",13.3,17.7,22.9
"Semi-detached",55039,470849,7378304
"Semi-detached (%)",45,40,31.5
"Terraced",35518,326453,5381432
"Terraced (%)",29.1,27.8,23
"In a purpose-built block of flats or tenement",12158,133229,3999771
"In a purpose-built block of flats or tenement (%)",10,11.3,17.1
"Part of a converted or shared house, including bedsits",2076,24511,821153
"Part of a converted or shared house, including bedsits (%)",1.7,2.1,3.5
"Part of another converted building",420,4982,188705
"Part of another converted building (%)",0.3,0.4,0.8
"In a commercial building",628,6299,197967
"In a commercial building (%)",0.5,0.5,0.8
"A caravan or other mobile or temporary structure",137,1414,99894
"A caravan or other mobile or temporary structure (%)",0.1,0.1,0.4
