"Name","Sunderland","North East","England"
"Very good",118258,1180035,27390829
"Very good (%)",43.1,44.6,48.5
"Good",90486,885603,19040735
"Good (%)",33,33.5,33.7
"Fair",43507,395694,7147346
"Fair (%)",15.9,14.9,12.7
"Bad",16834,143103,2248255
"Bad (%)",6.1,5.4,4
"Very bad",5086,42579,662881
"Very bad (%)",1.9,1.6,1.2
