"ID","Name","All Crime Rate | Jul-24","All Crime Rate | Aug-24","All Crime Rate | Sep-24","All Crime Rate | Oct-24","All Crime Rate | Nov-24","All Crime Rate | Dec-24","All Crime Rate | Jan-25","All Crime Rate | Feb-25","All Crime Rate | Mar-25","All Crime Rate | Apr-25","All Crime Rate | May-25","All Crime Rate | Jun-25","All Crime Rate | Jul-25","All Crime Rate | Aug-25","All Crime Rate | Sep-25","All Crime Rate | Oct-25","All Crime Rate | Nov-25","All Crime Rate | Dec-25","All Crime Rate | Jan-26","All Crime Rate | Feb-26","All Crime Rate | Mar-26","All Crime Rate | Apr-26","All Crime Rate | May-26","All Crime Rate | Jun-26"
E08000024,"Sunderland",9.44,9.44,8.58,8.77,9.11,8.16,7.96,7.11,8.41,8.25,9.13,8.53,8.44,8.87,8.99,8.97,8.63,8.21,2.2,4.4,6.57,6.87,7.62,7.32
cf_relGroup5_E92000001,"England",7.15,6.95,6.66,6.95,6.66,6.33,6.25,5.85,6.71,6.52,6.89,6.83,7.19,6.8,6.48,6.69,6.46,6.31,6.06,5.82,6.63,6.46,6.77,6.84
