"Name","Sunderland","North East","England"
"Properties in council tax band A (rates)",59.7,51.8,23.7
"Properties in council tax band B (rates)",14.9,16.1,19.5
"Properties in council tax band C (rates)",13.6,15.2,22
"Properties in council tax band D (rates)",7.5,8.8,15.7
"Properties in council tax band E (rates)",2.8,4.7,9.8
"Properties in council tax band F (rates)",0.9,2.1,5.2
"Properties in council tax band G (rates)",0.5,1.1,3.5
"Properties in council tax band H (rates)",0,0.1,0.6
