"ID","Name","Under 18s conception rate / 1,000 - Female - <18 yrs | 2017","Under 18s conception rate / 1,000 - Female - <18 yrs | 2018","Under 18s conception rate / 1,000 - Female - <18 yrs | 2019","Under 18s conception rate / 1,000 - Female - <18 yrs | 2020","Under 18s conception rate / 1,000 - Female - <18 yrs | 2021","Under 18s conception rate / 1,000 - Female - <18 yrs | 2022"
E08000024,"Sunderland","25.591 [20.952,30.952]","28.613 [23.664,34.293]","23.849 [19.404,29.007]","21.331 [17.195,26.161]","26.416 [21.865,31.635]","19.566 [15.753,24.023]"
cf_relGroup1_E92000001,"England","17.811 [17.533,18.091]","16.613 [16.346,16.883]","15.486 [15.231,15.745]","12.823 [12.594,13.056]","13.077 [12.847,13.309]","13.891 [13.657,14.128]"
