"Name","Sunderland","North East","England"
"1 person",40368,395924,7052232
"1 person (%)",33,33.7,30.1
"2 people",42256,410822,7978497
"2 people (%)",34.6,34.9,34
"3 people",20562,183528,3742887
"3 people (%)",16.8,15.6,16
"4 people",13589,128338,3024796
"4 people (%)",11.1,10.9,12.9
