areacd,areanm,cvd_mortality_rate_period,cvd_mortality_rate,employment_rate,econ_inactivity_rate,gdhi_per_head,child_poverty_pct,no_qualifications_pct,level3_plus_qual_pct,fuel_poverty_pct,housing_affordability_ratio,avg_house_price,ghg_emissions,air_pollution_regulating,domestic_gas_consumption,domestic_elec_consumption,coverage_4g_pct,coverage_5g_pct,gigabit_broadband_pct,premises_below_30mbps_pct,adult_obesity_pct,cigarette_smokers_pct,population_density,median_age,job_density
E07000211,Reigate and Banstead,2022-01-01/P3Y,22.004423584747705,90.0,9.8,32092,14.53391035,,73.4,6.678429780456575,11.05,480481.0,4.03,7.059077,11830.33088,2867.8,100.0,100.0,88.0,1.5,18.70773,9.5,1232,41.0,0.77
E07000124,Ribble Valley,2022-01-01/P3Y,24.698413079868104,79.3,20.7,29775,14.90712661,,83.2,9.576789611132972,6.73,287641.0,16.14,2.555226,10506.99137,2601.0,95.55,70.68,86.6,3.8,26.08486,6.4,113,48.0,0.86
E09000027,Richmond upon Thames,2022-01-01/P3Y,15.7225238133616,78.5,16.5,49666,10.61512778,3.6,89.1,8.260177393677507,12.58,818949.0,2.9,9.17073,11183.04709,2576.4,100.0,100.0,90.8,1.0,10.5369,6.6,3427,42.0,0.85
E08000005,Rochdale,2022-01-01/P3Y,45.8599239244373,69.9,27.5,18515,36.94976495,15.9,57.5,10.489584659115014,5.91,210083.0,3.62,9.297689,9863.224054,2417.15,99.99,99.94,92.0,0.9,28.73514,13.8,1490,37.0,0.66
E07000075,Rochford,2022-01-01/P3Y,23.3006838279176,77.0,21.4,26459,17.44814582,,54.1,7.078603555365175,9.05,415574.0,3.49,3.709433,11316.92793,2816.75,100.0,100.0,89.9,0.6,32.5334,6.2,538,44.0,0.59
E07000125,Rossendale,2022-01-01/P3Y,42.9444601589458,74.1,25.9,22128,26.93037513,11.6,59.5,10.696930745838166,5.24,193320.0,5.35,2.73272,10957.82537,2505.2,99.86,99.28,92.9,1.6,26.5741,16.2,529,42.0,0.5
E07000064,Rother,2022-01-01/P3Y,21.7107486520927,67.7,31.0,27069,26.43858027,3.7,68.7,9.6595706857473,9.95,343870.0,3.99,3.481132,10189.99926,2641.1,99.8,95.09,74.4,2.7,22.63656,14.0,189,53.0,0.77
E08000018,Rotherham,2022-01-01/P3Y,40.803214543786105,67.1,28.7,19793,30.62801382,10.6,59.1,10.77534724832327,5.53,190069.0,4.66,12.239848,9947.950812,2302.7,100.0,99.91,96.7,0.6,32.89463,14.0,965,41.0,0.65
E07000220,Rugby,2022-01-01/P3Y,30.246907993395,85.6,12.9,23182,18.0851937,2.9,77.3,10.845317862395817,6.25,276208.0,14.01,6.175456,10251.35808,2586.0,100.0,99.9,92.9,1.2,26.04741,11.8,349,40.0,0.75
E07000212,Runnymede,2022-01-01/P3Y,26.4408105963167,82.0,18.0,31483,18.41794569,6.7,75.3,7.336796444063622,9.69,489116.0,5.7,4.61011,11524.74298,2921.9,100.0,99.96,85.8,1.7,21.43061,9.5,1181,39.0,1.03
E07000176,Rushcliffe,2022-01-01/P3Y,20.2492201257419,80.7,17.1,28293,11.34967989,1.5,79.8,8.70595759890141,7.51,331451.0,6.2,6.369549,11097.20484,2596.6,100.0,99.84,80.9,1.6,19.21652,6.7,310,43.0,0.76
E07000092,Rushmoor,2022-01-01/P3Y,29.415581061493203,85.6,14.4,22540,19.97701494,10.0,53.3,7.135073672241436,9.5,328963.0,3.13,4.81205,9958.21617,2545.3,100.0,100.0,96.2,1.0,24.51492,10.5,2708,37.0,0.83
E06000017,Rutland,2022-01-01/P3Y,27.4332987001145,80.3,17.8,28694,15.21270037,5.1,68.3,10.928808226105522,7.94,299980.0,20.58,2.113709,11248.18722,2702.45,99.93,83.11,78.8,4.3,27.23233,7.8,109,47.0,0.84
E08000006,Salford,2022-01-01/P3Y,42.8461501811307,71.3,22.2,21128,33.64431896,6.6,68.0,9.936814100432324,6.58,231890.0,4.54,11.55096,9256.862176,2614.3595,100.0,100.0,94.2,2.3,26.38517,13.3,3028,33.0,0.91
E08000028,Sandwell,2022-01-01/P3Y,48.252697472717,69.8,25.7,16562,40.17623606,11.8,47.9,13.503926846355224,6.57,205743.0,3.42,13.405922,10299.82552,2463.8,100.0,100.0,96.2,0.1,37.23118,16.6,4135,36.0,0.6
E08000014,Sefton,2022-01-01/P3Y,32.5805494720043,79.9,19.5,21904,24.82213766,5.7,69.0,9.82747494538132,6.23,225433.0,4.06,9.587732,9835.66215,2371.7,100.0,99.28,88.3,0.6,30.83275,8.7,1828,45.0,0.6
E07000111,Sevenoaks,2022-01-01/P3Y,19.610914859206897,74.6,25.4,37860,15.55509182,7.9,64.3,8.063654403907801,10.77,543081.0,5.76,5.494383,11898.63648,3044.2,99.8,96.96,76.2,3.9,23.98072,9.1,332,44.0,0.81
E08000019,Sheffield,2022-01-01/P3Y,33.441009906125394,73.1,24.7,19462,31.59476782,7.4,70.5,,,,,24.477825,12561.0,2877.5,,,,,27.55964,11.1,1583,36.0,0.79
