"ID","Name","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2013 - 15","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2014 - 16","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2015 - 17","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2016 - 18","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2017 - 19","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2018 - 20","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2019 - 21","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2020 - 22","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2021 - 23","Child mortality rate (1-17 years) - Persons - 1-17 yrs | 2022 - 24"
E08000024,"Sunderland","17.411 [11.455,25.353]","11.324 [6.696,17.915]","12.822 [7.819,19.818]","11.848 [7.008,18.739]","10.064 [5.621,16.611]","9.201 [5.021,15.445]","9.839 [5.5,16.232]","12.929 [7.893,19.971]","14.564 [9.228,21.856]","16.852 [11.101,24.522]"
cf_relGroup1_E92000001,"England","11.98 [11.609,12.36]","11.716 [11.349,12.092]","11.334 [10.973,11.704]","11.104 [10.747,11.47]","10.944 [10.59,11.307]","10.428 [10.083,10.781]","10.045 [9.707,10.391]","10.424 [10.081,10.775]","11.209 [10.856,11.572]","11.594 [11.237,11.96]"
