"Name","Sunderland","North East","England"
"No cars or vans in household",37778,324661,5516098
"No cars or vans in household (%)",30.9,27.6,23.5
"1 car or van in household",49971,493735,9674645
"1 car or van in household (%)",40.9,42,41.3
"2 cars or vans in household",26926,277248,6106970
"2 cars or vans in household (%)",22,23.6,26.1
"3 or more cars or vans in household",7502,80036,2138372
"3 or more cars or vans in household",6.1,6.8,9.1
