"Name","Sunderland","North East","England"
"5 people in household",3809,39167,1060450
"5 people in household (%)",3.1,3.3,4.5
"6 people in household",1062,12028,358795
"6 people in household (%)",0.9,1,1.5
"7 people in household",342,3687,126018
"7 people in household (%)",0.3,0.3,0.5
"8 or more people in household",194,2186,92415
"8 or more people in household (%)",0.2,0.2,0.4
