"ID","Name","Infant mortality rate - Persons - <1 yr | 2013 - 15","Infant mortality rate - Persons - <1 yr | 2014 - 16","Infant mortality rate - Persons - <1 yr | 2015 - 17","Infant mortality rate - Persons - <1 yr | 2016 - 18","Infant mortality rate - Persons - <1 yr | 2017 - 19","Infant mortality rate - Persons - <1 yr | 2018 - 20","Infant mortality rate - Persons - <1 yr | 2019 - 21","Infant mortality rate - Persons - <1 yr | 2020 - 22","Infant mortality rate - Persons - <1 yr | 2021 - 23","Infant mortality rate - Persons - <1 yr | 2022 - 24"
E08000024,"Sunderland","4.102 [2.873,5.679]","3.313 [2.218,4.758]","2.734 [1.751,4.068]","2.776 [1.778,4.13]","3.023 [1.956,4.463]","3.129 [2.025,4.62]","2.276 [1.348,3.597]","2.787 [1.746,4.219]","3.286 [2.146,4.815]","4.046 [2.767,5.711]"
cf_relGroup1_E92000001,"England","3.886 [3.8,3.973]","3.876 [3.79,3.964]","3.917 [3.83,4.006]","3.931 [3.843,4.02]","3.948 [3.859,4.039]","3.904 [3.814,3.996]","3.927 [3.836,4.02]","3.935 [3.843,4.029]","4.06 [3.966,4.156]","4.166 [4.07,4.264]"
