"Name","Sunderland","North East","England"
"Disability-free life expectancy at birth - Female - All ages",54.3,56.3,60.9
"Disability-free life expectancy at birth - Male - All ages",54.3,56.9,62.4
"Disability-free life expectancy at 65 - Female - 65",7.6,8.1,9.9
"Disability-free life expectancy at 65 - Male - 65",7.9,8.2,9.8
