"ID","Name","Median - Annual pay - Male Full Time Workers  | 2021","Median - Annual pay - Male Full Time Workers  | 2022","Median - Annual pay - Male Full Time Workers  | 2023","Median - Annual pay - Male Full Time Workers  | 2024","Median - Annual pay - Male Full Time Workers  | 2025"
E08000024,"Sunderland",25647,27715,30336,33064,33084
cf_relGroup1_E92000001,"England",33717,35664,37933,40469,42157
