"ID","Name","Persons aged 16-64","Males aged 16-64","Females aged 16-64"
E08000024,"Sunderland",70.1,73,67.3
cf_relGroup0_E12000001,"North East",71.8,74,69.6
cf_relGroup1_E92000001,"England",75.8,78.9,72.7
